Date,Price
2016-03,1240.76
2016-03,1246.57
2016-03,1244.09
2016-03,1243.66
2016-03,1244.88
2016-03,1244.33
2016-03,1245.69
2016-03,1239.54
2016-03,1239.54
2016-03,1241.33
2016-03,1239.65
2016-03,1245.69
2016-03,1245.8
2016-03,1244.7
2016-03,1238.85
2016-03,1234.43
2016-03,1229.42
2016-03,1229.78
2016-03,1230.88
2016-03,1234.59
2016-03,1231.8
2016-03,1232.06
2016-03,1232.32
2016-03,1230.79
2016-03,1228.34
2016-03,1225.51
2016-03,1227.79
2016-03,1227.96
2016-03,1226.97
2016-03,1227.48
2016-03,1227.84
2016-03,1229.22
2016-03,1230.98
2016-03,1230.55
2016-03,1230.54
2016-03,1231.09
2016-03,1232.09
2016-03,1240.0
2016-03,1238.28
2016-03,1240.12
2016-03,1240.33
2016-03,1243.53
2016-03,1239.83
2016-03,1241.0
2016-03,1239.84
2016-03,1241.05
2016-03,1239.44
2016-03,1238.9
2016-03,1239.33
2016-03,1238.39
2016-03,1239.27
2016-03,1239.18
2016-03,1241.25
2016-03,1241.51
2016-03,1241.97
2016-03,1241.78
2016-03,1242.27
2016-03,1244.28
2016-03,1244.58
2016-03,1241.81
2016-03,1246.32
2016-03,1254.01
2016-03,1254.98
2016-03,1257.02
2016-03,1256.5
2016-03,1260.45
2016-03,1262.41
2016-03,1264.57
2016-03,1260.01
2016-03,1258.43
2016-03,1259.08
2016-03,1260.49
2016-03,1261.05
2016-03,1261.99
2016-03,1261.07
2016-03,1261.97
2016-03,1261.53
2016-03,1269.56
2016-03,1272.16
2016-03,1273.57
2016-03,1269.42
2016-03,1265.63
2016-03,1265.52
2016-03,1276.34
2016-03,1268.91
2016-03,1267.52
2016-03,1270.19
2016-03,1262.77
2016-03,1259.84
2016-03,1260.91
2016-03,1258.86
2016-03,1263.73
2016-03,1265.64
2016-03,1262.08
2016-03,1261.08
2016-03,1259.89
2016-03,1259.73
2016-03,1260.69
2016-03,1262.43
2016-03,1264.38
2016-03,1267.68
2016-03,1266.73
2016-03,1268.22
2016-03,1271.88
2016-03,1271.54
2016-03,1267.46
2016-03,1268.8
2016-03,1266.64
2016-03,1266.62
2016-03,1261.87
2016-03,1266.1
2016-03,1267.86
2016-03,1266.89
2016-03,1267.33
2016-03,1267.83
2016-03,1268.12
2016-03,1270.87
2016-03,1266.2
2016-03,1267.83
2016-03,1265.6
2016-03,1269.97
2016-03,1269.56
2016-03,1273.73
2016-03,1275.01
2016-03,1274.31
2016-03,1273.98
2016-03,1276.15
2016-03,1274.64
2016-03,1274.2
2016-03,1267.06
2016-03,1269.13
2016-03,1265.99
2016-03,1264.9
2016-03,1263.11
2016-03,1263.45
2016-03,1261.52
2016-03,1261.52
2016-03,1263.15
2016-03,1262.52
2016-03,1255.48
2016-03,1254.59
2016-03,1254.54
2016-03,1254.59
2016-03,1255.69
2016-03,1256.15
2016-03,1258.68
2016-03,1256.9
2016-03,1257.58
2016-03,1256.89
2016-03,1251.83
2016-03,1256.18
2016-03,1253.57
2016-03,1246.33
2016-03,1253.48
2016-03,1253.59
2016-03,1256.22
2016-03,1254.99
2016-03,1253.85
2016-03,1250.96
2016-03,1252.99
2016-03,1253.54
2016-03,1252.71
2016-03,1250.14
2016-03,1251.45
2016-03,1250.07
2016-03,1250.05
2016-03,1247.59
2016-03,1246.08
2016-03,1245.89
2016-03,1249.4
2016-03,1249.69
2016-03,1247.99
2016-03,1250.25
2016-03,1239.72
2016-03,1255.52
2016-03,1263.72
2016-03,1267.18
2016-03,1269.97
2016-03,1272.47
2016-03,1270.79
2016-03,1268.04
2016-03,1270.77
2016-03,1272.19
2016-03,1271.07
2016-03,1270.08
2016-03,1277.12
2016-03,1276.3
2016-03,1270.76
2016-03,1271.0
2016-03,1274.9
2016-03,1269.24
2016-03,1270.83
2016-03,1263.62
2016-03,1264.06
2016-03,1264.67
2016-03,1264.31
2016-03,1265.57
2016-03,1268.54
2016-03,1264.04
2016-03,1259.2
2016-03,1259.39
2016-03,1259.64
2016-03,1259.02
2016-03,1258.89
2016-03,1249.38
2016-03,1250.5
2016-03,1250.93
2016-03,1252.88
2016-03,1254.46
2016-03,1254.75
2016-03,1256.08
2016-03,1252.97
2016-03,1254.87
2016-03,1256.37
2016-03,1253.2
2016-03,1255.52
2016-03,1256.2
2016-03,1259.99
2016-03,1255.92
2016-03,1254.1
2016-03,1256.34
2016-03,1246.51
2016-03,1243.35
2016-03,1243.81
2016-03,1243.94
2016-03,1238.64
2016-03,1234.9
2016-03,1233.09
2016-03,1235.12
2016-03,1235.28
2016-03,1236.24
2016-03,1235.36
2016-03,1228.84
2016-03,1227.91
2016-03,1229.01
2016-03,1229.61
2016-03,1228.17
2016-03,1229.53
2016-03,1230.59
2016-03,1235.33
2016-03,1231.94
2016-03,1233.73
2016-03,1234.57
2016-03,1236.13
2016-03,1230.51
2016-03,1231.82
2016-03,1233.98
2016-03,1231.57
2016-03,1229.88
2016-03,1231.22
2016-03,1233.5
2016-03,1232.58
2016-03,1232.62
2016-03,1232.9
2016-03,1233.04
